num_rooms,square_footage,location_rating,price
3,3543,2,249106.037182041
2,618,4,258150.72386745614
5,2425,5,445192.52018890856
3,4475,3,279992.79560066236
4,2644,3,323004.7525390916
1,1752,5,290982.4057359334
4,3146,5,423133.9903531563
3,1615,3,247205.0560372957
4,3731,4,401303.39354943647
1,1082,4,241104.3864867556
1,1623,2,144200.08998447063
1,4881,2,224494.6002680048
4,2801,5,397143.3431962898
3,2208,2,306809.2080284803
4,2262,4,349608.7339598235
1,2392,2,164443.9050999087
5,1827,3,414105.3012675627
1,3022,1,179918.52324260958
1,1737,3,207151.62988483242
3,4220,1,254669.0846715873
4,1639,5,349379.7988989706
3,3734,3,354539.9944092682
4,1133,3,305610.94289186667
1,2970,3,218994.00432552965
1,783,3,193838.34541928757
1,4951,3,247196.81097639253
4,3315,3,326395.6555860012
1,3372,1,152772.19675354692
3,2882,2,290623.55750441743
3,2342,3,322764.54608956975
1,4822,3,307521.25078238436
5,2255,4,408402.1546763448
4,4740,4,399361.3785134923
5,2355,4,400586.73258995585
1,4805,1,176769.88550124606
5,1617,4,370120.40382280294
4,4252,1,308786.52561088896
4,1963,1,307380.6442550213
5,2193,5,440812.53239562496
2,3440,2,225412.63486679707
4,3617,2,332519.0489245216
1,2649,2,173885.55518420995
1,4527,3,260935.01230109856
1,3337,4,248008.55879523107
2,3806,3,288173.9496014849
1,4937,5,280527.05871859676
5,3591,1,311884.0282553789
2,2119,4,261128.63608252193
4,567,4,348766.6413060721
2,3770,1,222505.51057164726
1,4791,4,281079.8098840205
1,3495,2,200934.77020100033
5,1106,3,380552.2442147423
4,3029,4,390685.1812800968
4,2909,2,299107.226190829
2,3947,5,337430.3186170592
1,4009,1,187388.30635710768
1,4244,4,254790.17161070206
2,4228,3,272314.9073146624
3,1851,3,299045.3830014972
1,2428,5,308965.7356147063
4,3552,2,313175.6793650342
2,1022,4,279603.53150050825
2,3457,1,220906.59092101676
5,852,4,362553.61701928574
1,1978,5,262758.84180229256
1,4918,5,316060.5929346892
4,738,5,371622.027449808
3,4303,4,377308.49960179906
4,4041,2,363444.91569770843
3,2280,1,221361.28558539247
5,2464,1,281265.5410524851
4,4339,4,388887.6475012867
4,1052,5,381738.4157586589
1,3257,4,230343.8359169015
4,4990,1,291878.9513152046
1,4686,3,277748.6463482334
5,1386,2,379813.2084342553
3,4323,4,356182.9109199426
4,940,2,268275.3979616893
5,3955,2,375474.74688666145
1,2649,5,315558.6151461695
3,4268,5,393504.77829643054
4,4230,3,377536.50494352885
4,1926,4,352081.9579231629
2,4112,4,288762.5783039531
4,1398,1,248313.254302061
5,1703,3,389437.49850906956
4,3031,5,425636.4441941812
4,2282,5,401538.2279606608
2,3268,3,252113.55076150392
2,4709,1,202465.6827540824
2,1922,4,269719.5887934084
4,3324,2,342125.427947337
3,1458,1,231617.01071791287
3,4920,1,303602.3565496754
5,2079,1,319841.7459554643
4,2969,4,379467.3741500103
2,3001,3,292100.1336916279
3,1565,1,190382.28402335945
4,3342,5,440448.1074676435
2,1581,3,231640.1343763418
5,2301,1,300781.811952744
3,500,3,236854.12670324385
3,705,1,212664.21333738326
1,510,5,275921.0941219701
2,3268,3,273339.94466883526
1,4271,2,228126.67790606292
5,3514,5,416141.76944939175
1,4016,3,233779.3645979978
4,4580,3,352637.5127821241
3,4912,1,260142.91044508773
1,2387,2,176786.8561844588
1,2704,4,248640.0476678764
2,1001,4,250351.52487638543
2,684,5,284972.87132775574
1,517,3,215256.50319334876
4,1288,4,339826.2955858385
1,847,1,133288.75426495034
4,3206,3,339490.8293958626
1,697,1,168396.5526791632
5,3109,1,350289.0088437027
5,2037,1,304643.42157779395
1,4932,5,340165.88768332684
2,2808,5,288020.8878220874
4,1434,5,463124.99158609577
5,1466,5,387453.3689494742
4,4455,2,348831.4361750645
3,1445,3,296789.4658395353
2,927,5,286429.3491395627
2,4429,5,325214.7142174097
3,2162,3,271875.24268490885
2,4500,3,285182.65119610645
5,3795,5,446875.0721595889
3,617,2,245594.05920191194
5,2869,3,365657.67192361364
5,2992,1,329664.42497066164
3,3316,5,395652.71373699064
4,2164,5,392047.1863743249
4,726,3,304699.4234481873
2,4571,2,251115.77564626426
3,1806,3,278014.8968991306
5,725,2,285160.59526906995
4,3701,3,360959.0429743326
4,1072,3,329692.1545896531
2,4209,5,327373.9887152639
2,591,1,179137.4857898665
2,1917,2,216264.40693389944
2,4720,3,291155.87165830244
3,3513,1,265699.386909314
1,3363,5,311263.0933840719
4,3506,4,384124.41840725584
2,2431,5,304159.8715585859
5,3429,4,453961.16147942253
4,4869,1,284513.39885066234
2,1987,4,283136.7235710115
2,884,1,160172.62013315258
3,3063,5,365245.4220938965
1,3628,2,224390.15521012232
1,3894,4,293853.76672031387
3,4794,3,309833.81201621814
5,2228,1,316644.07866857795
1,822,3,199025.70188249697
5,4714,3,411842.59871578804
4,2899,3,356892.5329321366
4,4626,4,399664.8515235571
1,2001,4,219614.7890463874
1,2821,2,174149.53150193853
4,2872,5,395075.37167267257
4,2763,5,358749.4298110282
1,4855,1,206693.68781465865
4,3844,1,302141.9324775008
1,2156,3,194776.74920876083
3,2311,4,339662.71819416684
2,3805,3,285219.9225373543
1,2357,4,244978.30745478376
5,4882,5,503729.6136707104
1,4520,1,179035.4227201946
4,851,2,268521.9737937485
5,2964,4,458508.5042625781
5,4169,1,352470.65093013854
2,4120,5,332808.0974590753
1,2165,5,293979.58152920613
3,4087,3,319901.40367569256
5,4254,3,425038.32294189883
5,2056,5,458424.4096555476
3,4703,1,288391.5479129586
5,2756,2,348703.95016715844
4,4334,3,356527.9340159836
3,3454,5,421393.64650507236
4,2612,5,387369.2651888619
1,1148,1,170693.9537856364
1,604,1,115799.41527558607
1,4087,4,269150.40806192305
4,1785,4,333786.29449272674
5,3366,3,363743.9663790975
5,3197,3,386111.6780364812
3,766,2,225462.9415007421
3,4187,1,283405.7309486118
5,907,5,426511.9211119924
2,2197,3,233922.4656420455
4,4083,2,309219.2796787738
4,1608,4,334043.31067222886
4,3067,3,374465.6109335092
2,1742,4,258906.00771192904
3,4603,3,332783.65712254256
3,1123,4,270512.612504151
4,2774,4,334964.32688871655
3,3435,3,289485.0138854998
4,2887,1,281566.63569616276
5,2016,2,361224.4812417543
5,4960,3,414596.18961621355
3,2570,2,249912.89826672192
2,4022,5,348230.7657823347
3,3906,2,287655.1363154955
1,873,4,230402.3312591028
4,4965,5,424678.3321297994
1,1470,5,262430.7043293759
3,1966,4,324387.5535231077
5,3154,1,307105.839698628
4,1784,2,295929.4815379413
3,4256,5,384632.87797390623
2,4757,1,226149.14815323037
3,2179,1,217633.9329100932
2,2802,1,202396.75611766486
5,4228,3,433266.54759118805
2,2625,5,305062.6452692883
1,4745,2,202119.41453776514
1,2879,5,289017.7307438032
1,4077,3,243249.59656360495
1,4165,1,201734.222922666
1,2093,5,268620.32028427534
2,2073,2,250446.8312902452
1,4957,1,195420.1672720792
4,2668,2,333609.24819092156
2,4299,2,232051.60739715534
5,4104,5,433684.3862763224
2,3592,1,207967.72583729855
3,3930,2,301521.10521131504
5,3449,5,450282.5750760819
1,1573,3,226067.74466557516
1,4420,2,248827.7866340011
3,1418,5,346273.04467404133
1,3304,4,231202.50073300453
5,4803,5,482621.6773131422
5,3867,3,442338.37075681216
5,1464,3,358760.3048886784
2,3845,1,217042.22760051166
2,2980,1,230437.194937506
5,4947,3,404026.3850649769
2,4979,3,269705.9159820816
2,3290,1,209556.18331305397
4,4386,3,332548.38895193354
2,3825,5,331027.65435366944
4,4319,4,402639.83614459826
4,2596,2,324636.91621177795
2,2778,3,224853.84356736828
2,4135,5,331179.17734692554
2,3443,3,267211.7004901155
1,503,2,153308.3898733606
4,1842,5,381711.64042888413
1,3526,3,278740.2562678659
5,3286,3,375551.3877204948
2,4279,2,265722.34363380744
5,2449,3,361615.38603882724
1,2085,5,223733.78516069005
4,3685,1,272307.67304615147
3,1159,1,224129.0126822375
2,838,4,201477.57485243847
5,4926,5,489736.8279949045
5,3793,1,307504.26208667376
5,2508,3,377745.9448153156
1,1622,4,234035.42193864365
1,3785,2,209750.42314417416
3,1529,5,390529.098209534
1,2072,4,267840.23159543076
4,3309,5,366447.825855134
4,1698,5,362998.4918425774
5,695,1,303515.3323327356
2,673,3,244569.92890133846
5,1117,2,314136.0391678925
4,987,2,281160.2242826947
4,4582,3,363995.2656695739
4,2834,3,331873.6111824578
5,3998,3,405039.55986368505
3,3397,3,346575.40553034557
2,3919,5,377678.3674815638
3,823,3,272254.08485123666
3,1806,5,378057.31462581956
2,4638,3,291000.83689942776
4,4287,1,271004.3834484896
4,3693,2,344440.9069613066
5,1383,5,427177.63375603344
5,841,5,384696.5447225402
3,4696,1,273716.8560944097
2,1906,5,317237.100385207
2,2441,4,286471.1956019195
1,3813,4,268356.2197582418
1,4315,3,265929.62774922
3,4193,3,318226.353058873
5,4786,4,436875.60395488393
4,3893,2,319308.5491483398
4,1864,1,275422.5449856726
3,3773,5,349297.41949265904
2,3195,4,280319.2787918894
1,2383,3,234081.2334636454
5,4745,4,423585.6492182113
2,4300,4,298344.29808615654
5,2010,5,417504.5947989654
5,4669,5,477518.14243057236
3,1775,4,324559.68366829085
1,1984,5,284625.61501466995
1,1653,2,172787.7536772676
4,2668,2,313281.07202642673
2,2267,3,250684.0950931545
2,1936,2,237051.13268887062
1,3066,5,319481.88299421564
5,3971,4,481578.892076081
4,1386,1,285276.972825589
4,3013,1,292363.0550789536
5,2266,4,427696.56307945505
4,1485,5,362063.6014142695
5,2117,3,372890.37552852376
4,585,3,299325.721453035
1,909,4,244225.58845423907
4,3552,2,334886.5634457195
4,4065,1,320622.4926008141
2,4478,4,318330.31192251574
4,797,5,398272.35206053505
5,4032,2,384504.6968022229
1,2382,1,170361.31962920548
4,4336,2,343325.5700699748
1,3885,3,202767.62672788982
1,4285,5,305682.9376307353
4,1567,3,299289.5232226244
2,794,3,231901.3838842515
3,1428,1,232594.68444245882
4,2575,3,337376.2957702819
3,1842,4,312946.3205120762
4,2993,5,380965.77409937204
1,4906,4,287735.32130956376
4,1423,5,372275.44256259146
3,3964,1,278915.7622468389
1,4617,5,325074.23871515685
4,4088,3,346732.46733126306
2,773,3,227814.1447331612
5,672,3,343454.2259424637
4,3878,3,353586.4782103681
2,1651,1,171330.21462112406
3,4941,5,394322.7254318123
2,2127,3,248771.1028018366
5,1539,5,429369.29253053543
2,2216,3,242732.62374159673
4,1441,1,272768.12687390397
2,3389,2,247648.75029020442
4,4158,4,385791.2934809132
3,2077,2,314506.35530118406
5,1630,1,289803.1523770783
2,4113,5,375940.7632786068
5,4160,3,406666.7459789571
2,4081,5,347951.38363546575
5,692,3,336225.17980391876
2,1967,3,245883.06742107266
3,2562,4,360453.9196588349
3,2558,5,352246.1935771342
4,2680,2,313449.3760930199
2,2032,5,306501.6687146875
3,1530,2,207715.82239698776
3,3168,1,241794.18828821453
5,3723,2,343304.46154095855
3,1609,4,320925.57035586645
3,4651,1,266051.5780642088
4,4035,4,428527.1693135186
1,1510,4,220506.8039912219
5,1874,2,356426.8584275143
3,1628,5,341491.2401073672
1,4161,2,242775.71060748168
1,539,4,191395.8436738178
3,3997,2,275940.1442142869
4,4380,5,412928.7182043402
2,517,4,287479.92213634704
4,3481,2,345124.06340579817
3,630,5,296405.9625492795
5,2480,2,343255.2548718498
2,2925,2,229856.30196685603
2,606,4,288473.1592496222
3,928,4,323890.2466382652
3,1137,1,235131.61634297454
5,1740,1,303320.2833974059
4,4208,2,359768.25383606215
5,2029,1,316349.3051949059
3,1378,3,273624.37641151156
5,2369,2,358346.2378270154
3,4509,5,342663.1514818694
2,1000,2,171444.52129220794
5,4827,5,447261.96503781853
1,3161,2,176340.99419839642
2,1711,5,316525.09845699643
1,4481,1,204247.90298957654
3,2920,1,236760.8212805296
1,1605,4,243857.1484563439
4,1100,3,285708.3919271548
3,1144,1,199357.86461619945
1,3090,4,267386.4111186786
3,2640,1,255008.83596631375
4,2729,5,425642.39384485455
1,4885,2,220269.60923896806
1,1161,2,157159.48285224536
2,2388,5,287331.99800317653
1,4319,1,179704.76685563984
1,1876,1,133267.85210361893
3,1470,2,243301.12262605538
4,1779,4,402303.6353006363
5,4338,2,370966.3985635911
4,2804,5,394539.61432083906
4,837,5,407130.8640854965
1,4156,4,288431.4484284687
5,1617,1,305347.6642541778
5,3457,4,436306.39291434677
4,3241,1,303786.45698131074
3,2713,4,319468.40223920456
5,3570,3,358644.24961536954
5,4057,3,405642.2475754234
4,2600,2,292166.03183116636
2,3946,2,239409.33884468034
5,4444,4,400725.6116441212
4,528,3,327123.0114475655
2,3982,5,323260.8606066037
4,2613,5,412677.72789158137
4,1805,3,333586.97823515366
3,2572,3,283389.7721256019
1,3398,3,242341.60963326052
2,798,5,300007.6376242205
1,4611,4,287616.7121242976
2,2588,2,225587.81731034708
2,4596,5,364378.7988162977
5,1664,5,432852.3621875549
3,2736,1,262122.39234569095
3,2546,5,369210.42962026916
4,3483,3,395422.16883996106
1,2111,2,160864.16829740757
4,1759,4,357569.7512083539
3,911,2,263922.213011759
4,1224,5,381150.1691557191
3,4980,1,279250.1230260968
3,2189,2,264691.152100682
2,1816,5,274621.3958361952
4,2517,5,441236.8965529203
2,4822,5,329803.8405487308
4,1860,1,260793.47453436445
3,4740,5,404070.32538830215
3,1488,2,261610.02415784143
5,1583,1,328594.6476511123
2,1415,2,211476.74317251888
1,4342,4,316226.94134144764
4,4182,3,331708.9057588037
1,563,4,240162.17039717917
5,748,3,318951.8208425764
3,1482,4,312874.3666279621
2,1174,1,188713.21695285503
1,3115,3,208471.50686051985
2,583,1,146747.83103244315
3,3354,3,324496.9558284513
2,2028,2,225310.11844483638
2,4270,1,195614.0754076777
4,3123,4,370257.13696807553
1,4683,2,237282.55991656514
5,3560,4,436323.7395290849
2,2546,2,244384.45217325012
2,1435,3,203484.26336693938
5,3133,3,418962.61193012143
1,3722,1,207579.75160589523
3,4389,5,375546.34721243876
4,2274,4,406708.26455157093
5,1872,4,386824.6069058887
2,1921,1,186096.46252705622
3,3265,4,321662.983166955
4,2189,4,329451.10689108673
5,4097,3,373616.40756371856
2,3790,4,336935.0673794924
1,4117,5,311361.0835761048
5,1394,1,341430.1419931859
2,1349,5,310752.5171090582
3,3564,1,248315.5497035889
5,1765,5,438869.38225613197
4,973,1,240028.40820498604
1,4969,4,289415.4980756893
5,3491,4,449542.65530214296
5,2088,5,429940.6316521407
1,977,5,229071.8386869573
3,2012,4,311070.6725161136
4,1681,3,375147.3267896365
2,2178,4,266981.2140813291
3,903,5,311762.2592058059
2,1890,4,316867.37458867015
4,4887,4,395208.46549944545
3,1431,4,336805.8020463613
5,2557,1,301356.72327035235
3,4583,1,251222.43657804353
2,3382,2,233890.76813321773
5,2626,5,453703.1137629511
1,2293,2,171995.2665349423
3,1246,3,293891.5891565678
3,4833,3,319711.58764322073
5,925,2,290379.35310423886
3,2422,2,289086.0582340281
5,1864,2,356326.1636111809
1,1616,3,203499.90653588838
3,1700,2,230974.45515848952
2,4320,3,259394.53235701832
3,2490,1,256276.22579254158
5,1123,3,330649.54937801894
5,2367,1,366788.53654770076
2,1546,5,301436.55018106615
2,4197,1,175497.3408012373
5,4950,2,389363.886466244
5,4227,3,408537.07247329655
3,1777,1,212815.03547079247
5,2188,3,397134.6633726914
2,2983,4,309438.3590955128
3,2545,1,247818.92747137704
5,4542,2,346482.93907252303
1,1508,3,219981.73270826106
2,1049,1,200350.33772992276
1,3014,2,203824.55645274013
3,3241,3,303483.76517747925
2,2164,4,280343.0798539977
3,918,3,300091.4899726776
4,2918,4,370024.0007466722
2,1881,2,234028.87114235715
3,2162,3,243029.71414433524
1,3514,2,198648.21548159947
3,2104,1,238901.06120255296
5,4178,2,397523.4883883232
5,4193,1,353124.5859284876
1,859,5,238180.32339307052
3,2582,2,266112.69020268775
2,673,3,260845.78230255103
1,3976,4,268139.8044975466
3,3276,2,259263.07138934647
4,643,2,272132.14517523424
5,3395,1,298863.384957239
1,4425,3,297984.39272487414
3,555,2,223937.98829361273
4,4538,1,322323.5779527316
5,1162,3,329976.5215305591
4,4500,1,302266.4487819999
1,4453,3,248554.34955151894
3,2046,4,343885.58858085785
4,4497,3,416526.77744616335
4,1988,3,335248.815390301
4,4604,2,309966.54257323244
2,2198,2,228254.5230083285
4,3408,4,391702.26137720904
3,1178,4,276767.0291768804
3,4723,1,266756.02494137635
3,860,2,285394.5378023569
5,2904,5,422153.07243175886
4,2033,3,341902.63492307585
1,2062,3,208201.8988947226
5,878,4,406573.9095768193
2,3375,2,240907.71105740214
3,2779,2,273874.9112009398
2,3058,2,239323.06280911883
5,503,1,301452.40867336397
2,3539,4,325137.91479088034
5,2928,2,347225.4412641592
2,1125,3,243821.32318582822
3,4565,1,260699.57192742437
4,639,3,293676.3293280944
3,1470,5,322062.6205556835
3,3968,5,377401.921013111
3,3321,1,238851.99633823682
4,2691,5,388073.324245013
3,3953,1,270927.14985347074
5,806,5,436657.8427258141
2,770,3,213268.2967687098
4,2867,5,402699.75138526974
1,4700,3,255122.05076425965
5,754,4,393116.45912644657
4,4647,1,293509.51571244374
2,3794,4,294765.3454770275
4,4400,2,366263.0184474646
5,1226,5,389325.32232768583
5,793,5,392016.7201875186
1,2824,1,176655.2247905384
3,2286,3,274086.458167342
2,2272,1,209006.8572937041
5,1821,4,400550.4880940954
5,3646,3,392961.9269356827
2,728,1,198980.9592037875
5,670,1,296662.1339172836
1,514,3,176857.185972673
1,2834,2,187004.4551710517
3,4771,4,373641.9307857734
4,2511,2,320862.7278014937
2,3414,5,328267.9065671885
1,2350,2,225022.3850412474
1,2242,1,149649.40012388636
1,2260,4,251018.04838961043
1,756,5,220479.18584144962
3,4663,5,366458.43960037985
5,4173,3,424900.0839062296
1,4855,1,172896.65327536588
3,2271,2,285600.85280375945
4,4923,1,296420.37805025524
5,1507,2,324137.0474069189
4,2984,2,332087.3984073837
5,2689,3,369526.2812322431
5,3235,4,384395.79619309306
5,1537,4,409275.8525181434
3,1454,1,208439.05236724715
2,1970,2,233880.88160603918
4,4059,5,406073.30687778466
5,1436,5,405014.9476380295
5,4746,3,389005.2967916775
1,1460,4,249480.91485528726
1,2511,4,247310.22902628296
3,3088,2,248367.63267779618
5,1540,2,318709.99041519733
4,1936,3,358226.839346376
4,3677,2,328822.05146198743
1,1453,1,154969.21755315858
1,2739,4,259090.8422615808
2,2984,1,222649.88788307537
5,3634,4,418854.01736583747
5,1483,1,317843.58604869863
1,585,4,241659.6981646254
1,4758,4,291274.76383027417
1,3194,5,265692.81644539215
2,1068,5,313447.6158678363
2,2819,1,170530.1578137325
2,2306,5,312421.6156269218
5,3505,3,352418.7341326436
2,854,3,192371.35421399277
5,2829,4,434109.1279693758
1,4024,2,230270.11791065527
5,2653,3,369363.68499567744
4,3246,4,382838.0435964497
3,1183,2,220519.53398736715
1,3220,4,244413.79246188965
4,582,2,291540.5618266059
3,1393,3,291779.22458205395
4,3032,4,408176.3250579049
3,1180,5,332076.3632146471
3,1234,2,233582.19884432494
2,1455,5,292830.4721160421
4,4757,2,344527.18967155897
4,680,4,344655.32111336966
1,4860,2,217994.32306731574
5,4277,3,386656.2815018174
4,2820,3,352981.58124888915
4,4433,5,442993.3684334995
1,4859,1,193864.33362537227
1,3153,5,252818.93625908668
2,1188,5,302680.1740176373
5,3884,1,368157.15756707906
5,4253,4,450720.4952495968
2,4194,2,235171.80265888775
1,3588,3,238317.8935789246
1,3358,5,298759.24140956637
1,2221,4,261907.19609835383
4,1294,3,308972.5134687141
5,788,1,343448.9630929885
5,4504,4,443211.0076711142
3,3690,5,404969.1486615893
3,2413,4,327043.7766562832
4,1543,3,317003.37584975956
4,781,4,321689.66652671463
5,3351,1,304229.5896154756
3,1368,2,245248.71821920347
2,2505,4,290821.27332008054
1,4977,3,236909.63824716042
5,1923,3,363494.05544608895
2,1703,1,180670.3704964498
4,2510,4,378119.69512540376
1,4880,1,222647.7932833901
4,4486,1,279557.398650033
3,1616,1,202863.43686932762
2,3549,2,260492.06278304342
1,1337,5,268333.3965605345
1,1611,2,146914.55943494022
4,4872,1,291133.5964922537
5,3126,3,412649.78737919027
2,4327,4,296567.94235042593
1,847,2,120041.1165003012
1,4795,1,202157.7007280254
3,2713,1,234357.57709804986
2,3912,3,309602.8268248538
2,4114,1,204004.2104684017
1,2602,3,225940.30734564405
2,1365,3,219284.627167758
2,940,5,300258.69754400046
1,4871,4,307380.22227614146
1,4423,4,277085.42495846486
4,3985,2,312233.359184035
4,3801,2,345395.3030264355
4,4466,4,394152.1825155767
4,1397,2,274551.82732004026
2,1778,4,290760.07717669633
3,4137,3,311447.0343426118
1,4216,3,270598.83503716544
1,3609,3,248813.97717422814
5,4314,1,342721.74043411505
3,4200,2,296345.2676520429
3,4875,5,411149.842534877
1,3181,1,176570.1780155379
3,939,1,195461.72387952093
5,2708,2,330913.7149269365
2,4104,1,214699.18899945472
4,3173,3,331251.415820001
5,2969,3,364337.92791364033
4,3514,2,315474.2448741354
1,1076,3,214319.88498802535
2,2009,4,275517.7780835524
5,3058,3,387275.36336167296
3,2877,4,336174.0395019823
2,2664,1,211193.16359324162
5,1846,4,417113.61903263355
2,3189,4,246305.0329293198
1,2677,5,277071.54060918477
3,4216,1,236090.7954310571
4,3105,4,398425.6659697661
4,811,4,371571.69410884345
4,4659,3,384229.8910663466
5,4924,4,432139.2728506527
2,1387,3,191912.00843122852
3,3460,1,229925.9877852072
3,3474,1,254229.0392322573
5,4476,1,335993.5911585467
3,663,4,274173.36270595435
3,1710,5,354225.7010652139
2,682,1,185918.46871321893
2,2059,3,250254.12683975382
2,3664,5,338383.4057363643
5,1472,4,397944.95165826904
5,590,1,289266.03716709133
5,2007,2,346174.4506404146
3,3787,3,321877.8989884265
4,1777,1,272314.823332393
3,2358,4,303060.3402926551
2,4286,2,245604.95077620595
4,625,4,375184.35822332173
1,2789,4,234103.91079999547
4,1063,2,309898.37616539147
2,774,5,268642.19030538504
2,3846,1,196477.42808789123
2,4366,1,247042.63615488505
2,3349,4,318837.25843298814
1,2715,1,167462.3213208267
4,1351,5,367601.9300775169
1,3399,3,206817.1026677181
3,1727,2,233396.60084304624
4,1609,4,361013.42347675544
3,3577,1,284581.26084803534
3,1914,2,256449.78385221504
3,1086,3,278535.4033239137
2,609,4,229546.0779441903
4,3787,5,418299.7904652066
5,2742,3,351973.7550706522
4,4804,2,368204.3546030611
2,1572,3,239937.53955199628
4,2870,5,381729.4049611048
2,1340,2,195149.34628463202
4,713,4,359219.48642430775
4,3357,4,374986.142019385
3,3751,2,294321.2220671723
1,845,4,206213.0026748788
4,2363,1,244876.15897659046
5,1228,1,300087.82189681014
1,799,4,249840.16141404235
5,2051,5,431296.43160487345
4,1763,3,297646.1746371383
2,3230,2,232159.1097477216
4,2637,4,390727.6393220692
3,1385,5,308958.3008758569
2,2779,2,198982.92202745838
5,2018,1,319805.5353160803
4,1670,1,231825.56419098342
4,1429,5,403085.0793381378
2,3360,2,205819.87945815205
4,3775,1,334633.7014010884
1,3103,2,212267.57431429526
5,1039,3,324938.0033540364
4,2434,5,410161.4108125016
4,1340,2,290188.307028739
2,2812,4,301185.1955018897
3,3567,1,241941.4588452346
5,1825,3,413937.3935390561
1,3624,1,178338.24928183522
1,3563,1,144561.9411306123
2,3292,1,180592.87599947266
1,3246,2,207312.30672901723
3,3783,2,303039.97813753155
4,896,1,266883.574176742
5,3180,3,411700.7238866057
4,4850,4,378659.793476558
2,4431,3,263406.77728636685
4,644,5,385545.7157770521
3,1720,1,225078.60384428897
1,3411,3,213398.28581753827
5,2209,3,393261.14446670964
3,1751,1,177940.66125931323
2,1411,3,249961.34335155512
5,608,4,374509.54794828297
4,3007,4,402623.6126307384
2,2325,3,255208.63163306157
4,4930,4,414644.9298575114
3,4824,2,324441.43482039205
3,3217,3,324282.8244576207
2,3475,3,260257.397130669
1,2142,5,297908.77970624255
2,985,1,192679.40303475194
1,4392,1,227221.9257276213
2,3030,1,178294.28673453044
2,2615,5,313813.31331406155
5,3178,5,461942.6190174924
1,2775,2,182965.45757237723
1,4122,3,249315.62427084908
3,4970,2,300139.632870458
4,710,4,357274.365185504
3,3710,1,269337.36627496104
1,581,1,115694.40807054227
5,3477,2,348303.2151948648
1,4317,1,151564.43776146142
4,2892,1,281562.8452109227
